clip,source,section,group,width,height,fps,stride,label_frames,visible,camera,motion_px,origin,note
video37,prof,game5,prof_game5,1280,720,30.000,1,35,35,fixed,0.5,C:\Users\Andrew\Desktop\prof\Dataset\game5\Clip14,"public TrackNet tennis set, game5/Clip14"
video38,prof,game5,prof_game5,1280,720,30.000,1,174,135,fixed,0.8,C:\Users\Andrew\Desktop\prof\Dataset\game5\Clip15,"public TrackNet tennis set, game5/Clip15"
video39,prof,game6,prof_game6,1280,720,30.000,1,596,575,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game6\Clip1,"public TrackNet tennis set, game6/Clip1"
video40,prof,game6,prof_game6,1280,720,30.000,1,579,575,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game6\Clip2,"public TrackNet tennis set, game6/Clip2"
video41,prof,game6,prof_game6,1280,720,30.000,1,529,527,fixed,0.3,C:\Users\Andrew\Desktop\prof\Dataset\game6\Clip3,"public TrackNet tennis set, game6/Clip3"
video42,prof,game6,prof_game6,1280,720,30.000,1,285,272,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game6\Clip4,"public TrackNet tennis set, game6/Clip4"
video43,prof,game7,prof_game7,1280,720,30.000,1,128,121,fixed,0.5,C:\Users\Andrew\Desktop\prof\Dataset\game7\Clip1,"public TrackNet tennis set, game7/Clip1"
video44,prof,game7,prof_game7,1280,720,30.000,1,202,201,moving,2.2,C:\Users\Andrew\Desktop\prof\Dataset\game7\Clip2,"public TrackNet tennis set, game7/Clip2"
video45,prof,game7,prof_game7,1280,720,30.000,1,47,46,fixed,0.3,C:\Users\Andrew\Desktop\prof\Dataset\game7\Clip3,"public TrackNet tennis set, game7/Clip3"
video46,prof,game7,prof_game7,1280,720,30.000,1,901,847,fixed,0.4,C:\Users\Andrew\Desktop\prof\Dataset\game7\Clip4,"public TrackNet tennis set, game7/Clip4"
video47,prof,game10,prof_game10,1280,720,30.000,1,316,316,fixed,0.3,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip1,"public TrackNet tennis set, game10/Clip1"
video48,prof,game10,prof_game10,1280,720,30.000,1,132,132,fixed,0.3,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip2,"public TrackNet tennis set, game10/Clip2"
video49,prof,game10,prof_game10,1280,720,30.000,1,188,188,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip3,"public TrackNet tennis set, game10/Clip3"
video50,prof,game10,prof_game10,1280,720,30.000,1,47,47,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip4,"public TrackNet tennis set, game10/Clip4"
video51,prof,game10,prof_game10,1280,720,30.000,1,65,65,fixed,0.1,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip5,"public TrackNet tennis set, game10/Clip5"
video52,prof,game10,prof_game10,1280,720,30.000,1,292,292,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip6,"public TrackNet tennis set, game10/Clip6"
video53,prof,game10,prof_game10,1280,720,30.000,1,142,142,fixed,0.2,C:\Users\Andrew\Desktop\prof\Dataset\game10\Clip7,"public TrackNet tennis set, game10/Clip7"
